Sentence,Sentiment,words per sentence,label,cleaned_sentences
$PKT Momentum building for breakout trigger ! Long setup http://stks.co/eXVU,positive,10,1,$ pkt momentum building breakout trigger long setup
The platform would continue to be the development framework for Symbian and MeeGo .,neutral,14,0,platform continue development framework symbian meego .
"19 May 2010 - Finnish company Lemminkainen Oyj ( HEL : LEM1S ) said today that it will construct an office building at Toolonlahti in downtown Helsinki , without disclosing financial details .",neutral,33,0,19 2010 finnish company lemminkainen oyj hel lem1s say today construct office building toolonlahti downtown helsinki disclose financial detail .
"The final price will be specified by 14 May 2010 , the acquiring company said .",neutral,16,0,final price specify 14 2010 acquire company say .
"Nordea Pankki Suomi Oyj , according to previously announced , has made forward contracts on Alma Media Corporation shares .",neutral,20,0,nordea pankki suomi oyj accord previously announce forward contract alma media corporation shares .
"Profit before taxes was EUR 4.0 mn , down from EUR 4.9 mn .",neutral,14,0,profit taxis eur 4.0 mn eur 4.9 mn .
They both will report to Oriola-KD 's chief executive officer Eero Hautaniemi .,neutral,13,0,report oriola kd chief executive officer eero hautaniemi .
"By cutting the number of plants , the group will trim fixed costs .",positive,14,1,cut number plant group trim fix cost .
"$SINA even though the ""report"" is untrue and has been proven unture, the damage is done. No one wants to touch it now",negative,23,-1,$ sina report untrue prove unture damage . no want touch
Merkel's Government Said to Support Deutsche Boerse-LSE Merger,positive,8,1,merkel government say support deutsche boerse lse merger
`` Operating profit declined mainly due to the increased cost of wood and recycled fiber and the strengthened euro . '',neutral,21,0,` ` operate profit decline mainly increase cost wood recycle fiber strengthen euro .
CompaniesTesco off to a bad start over Xmas â€“ Kantar,negative,10,-1,companiestesco bad start xmas â€ kantar
"Capacity of the facility made by Finland 's Vaahto Group is 86,000 tons of light coated paper .",neutral,18,0,"capacity facility finland vaahto group 86,000 ton light coat paper ."
17 March 2011 - Goldman Sachs estimates that there are negative prospects for the Norwegian mobile operations of Norway 's Telenor ASA OSL : TEL and Sweden 's TeliaSonera AB STO : TLSN in the short term .,neutral,38,0,17 march 2011 goldman sachs estimate negative prospect norwegian mobile operation norway telenor asa osl tel sweden teliasonera ab sto tlsn short term .
"Steek , which was set up in 2002 , is based in Bordeaux , southwestern France .",neutral,17,0,steek set 2002 base bordeaux southwestern france .
President and CEO Mika Vehvil+ñinen says the positive signs are first and foremost emerging outside Finland .,positive,17,1,president ceo mika vehvil+ñinen say positive sign foremost emerge outside finland .
Finnish construction group Lemmink+ñinen has been awarded two road building contracts by the Lithuanian transport administration .,positive,17,1,finnish construction group lemmink+ñinen award road building contract lithuanian transport administration .
"According to Eijkens , a publisher can do much more than just publish colourful books : a publisher can provide value added to information by individualising it .",neutral,28,0,accord eijkens publisher publish colourful book publisher provide value add information individualise .
Finnish silicon wafer technology company Okmetic Oyj OMX Helsinki : OKM1V said on Wednesday 17 September that it will invest EUR6m in its sensor wafer business during 2009 .,neutral,29,0,finnish silicon wafer technology company okmetic oyj omx helsinki okm1v say wednesday 17 september invest eur6 m sensor wafer business 2009 .
$RAD I would consider this opportunity to add my position because the company is on the right track they are still improving sales...,positive,23,1,$ rad consider opportunity add position company right track improve sale
The low capacity utilisation rate in steel production considerably increases the fixed costs per unit of steel produced .,neutral,19,0,low capacity utilisation rate steel production considerably increase fix cost unit steel produce .
Work on the assignment has already started and is due for completion in spring 2011 .,neutral,16,0,work assignment start completion spring 2011 .
"Progress Group , QPR 's representative in Saudi Arabia and North Africa , has signed a framework agreement for a long term strategic relationship with ISE .",positive,27,1,progress group qpr representative saudi arabia north africa sign framework agreement long term strategic relationship ise .
Finnish Bank of +àland reports its operating profit fell to EUR 4.9 mn in the third quarter of 2007 from EUR 5.6 mn in the third quarter of 2006 .,negative,30,-1,finnish bank + àland report operating profit fall eur 4.9 mn quarter 2007 eur 5.6 mn quarter 2006 .
"Finnish Kemira 's net sales EUR decreased to EUR 1,259.6 mn in January-June 2009 from EUR 1,425.1 mn in January-June 2008 .",neutral,22,0,"finnish kemira net sale eur decrease eur 1,259.6 mn january june 2009 eur 1,425.1 mn january june 2008 ."
Financial terms were not disclosed .,neutral,6,0,financial term not disclose .
The company may at any time have in its possession one tenth of all its shares at the maximum .,neutral,20,0,company time possession tenth shares maximum .
The value of the orders is about EUR 70mn .,neutral,10,0,value order eur 70mn .
"RECAP: $MSFT rumor this morning had them spinning off XBOX unit, stock grinds up all day to close on highs",positive,20,1,recap $ msft rumor morning spin xbox unit stock grind day close high
"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .",positive,24,1,accord finnish metso minerals value company order go eur 1.9 bn 12 month .
"Therefore , the company 's 2005 result will remain weaker than that of 2004 .",neutral,15,0,company 2005 result remain weak 2004 .
Breakingviews: IAG can pay more for Aer Lingus,positive,8,1,breakingview iag pay aer lingus
"The pine oil project is related to the upgrade of the chemical recovery plant of UPM at its pulp mill in Kymi , southern Finland .",neutral,26,0,pine oil project relate upgrade chemical recovery plant upm pulp mill kymi southern finland .
Standard Chartered Shifts Emerging-Markets Strategy After Losses,negative,7,-1,standard chartered shifts emerging markets strategy loss
AB InBev to Sell SABMiller Stake in China's Snow Beer,neutral,10,0,ab inbev sell sabmiller stake china snow beer
"The Marubeni Group focuses on creating `` value chain '' from upstream to downstream , encompassing a wide variety of business fields , including oil & gas , metals , mineral resources , foods , pulp & paper and chemicals , among others .",neutral,44,0,marubeni group focus create ` ` value chain upstream downstream encompass wide variety business field include oil gas metal mineral resource food pulp paper chemical .
"Based upon its unique fiber expertise and innovative approach , the company has a strong market position in several business areas in which it operates .",positive,26,1,base unique fiber expertise innovative approach company strong market position business area operate .
The personnel s expertise and high level of technology play a major role in Exel Composites operations .,neutral,18,0,personnel s expertise high level technology play major role exel composites operation .
"Coca-Cola was the market leader of manufacturers with a market share of 36.9 % , down 2.2 % from the corresponding period in 2004-2005 .",negative,25,-1,coca cola market leader manufacturer market share 36.9 % 2.2 % corresponding period 2004 2005 .
Metsa-Botnia will sell 82.1 % of its stake in the Uruguayan companies and Metsaliitto -- 5.5 % .,neutral,18,0,metsa botnia sell 82.1 % stake uruguayan company metsaliitto 5.5 % .
Aviva weighs cash handout after beating profit forecast,positive,8,1,aviva weigh cash handout beat profit forecast
"Tesla to recall 2,700 Model X SUVs over seat issue https://t.co/OdPraN59Xq $TSLA https://t.co/xvn4blIwpy https://t.co/ThfvWTnRPs",negative,14,-1,"tesla recall 2,700 model x suvs seat issue $ tsla"
Bovine slaughtering and cutting at the Kuopio facility will be transferred to the Kauhajoki slaughterhouse .,neutral,16,0,bovine slaughter cut kuopio facility transfer kauhajoki slaughterhouse .
"`` Adjustment to the fall in price level , in contrast , has been less effective .",neutral,17,0,` ` adjustment fall price level contrast effective .
"Okmetic has a global customer base and sales network , production plants in Finland and the US and contract manufacturers in Japan and China .",neutral,25,0,okmetic global customer base sale network production plant finland contract manufacturer japan china .
Public services will also be available .,neutral,7,0,public service available .
Asian traffic declined by 3.4 per cent .,neutral,8,0,asian traffic decline 3.4 cent .
Finnish and Swedish construction markets are still experiencing an estimated 4 % annual growth in 2008 .,positive,17,1,finnish swedish construction markets experience estimate 4 % annual growth 2008 .
Stock Exchange Release 10/3/2011 12:00 Sanoma has published its Annual Report and Financial Statements for 2010 and its first Corporate Responsibility Report .,neutral,23,0,stock exchange release 10/3/2011 12:00 sanoma publish annual report financial statements 2010 corporate responsibility report .
"The company targets sales of Ls 27.1 mn ( Ls 23.498 mn ) and a profit of Ls 300,000 ( Ls 371,500 ) in 2007 .",neutral,26,0,"company target sale ls 27.1 mn ls 23.498 mn profit ls 300,000 ls 371,500 2007 ."
"After the takeover , Cramo will become the second largest rental services provider in the Latvian market .",positive,18,1,takeover cramo second large rental service provider latvian market .
Ruukki is restructuring commercial and industrial construction operations in pursuit of permanent improvements whilst adjusting operations to market conditions .,neutral,20,0,ruukki restructure commercial industrial construction operation pursuit permanent improvement whilst adjust operation market condition .
"It projected revenue of $ 2.2 billion to $ 2.3 billion , slightly higher than analyst estimates of $ 2.19 billion .",positive,22,1,project revenue $ 2.2 billion $ 2.3 billion slightly high analyst estimate $ 2.19 billion .
"The brokerage said 2006 has seen a ` true turning point ' in European steel base prices , with better pricing seen carrying through the second quarter of 2006 .",positive,30,1,brokerage say 2006 see ` true turning point european steel base prices well pricing see carry second quarter 2006 .
Operating profit in the fourth quarter fell to EUR33m from EUR39m a year earlier .,negative,15,-1,operate profit fourth quarter fall eur33 m eur39 m year early .
$JD down 20% in after-hour market. anyone care to explain why?,negative,11,-1,$ jd 20 % hour market . care explain
"Operating profit totalled EUR 83.0 mn , up from EUR 23.5 mn year-on-year .",positive,14,1,operate profit total eur 83.0 mn eur 23.5 mn year year .
BRIEF-Aviva aims to increase dividend pay-out ratio to 50 pct in 2017,positive,12,1,brief aviva aim increase dividend pay ratio 50 pct 2017
$EXPE working on the second leg of its reversal run as it breaks another down trend and continues higher. https://t.co/76DSJysyR0,positive,20,1,$ expe work second leg reversal run break trend continue high .
"GeoSentric is acquiring extra financing by issuing a maximum of 220,000 new shares and a convertible bond with subscription rights for 880,000 shares , which have been fully subscribed .",neutral,30,0,"geosentric acquire extra financing issue maximum 220,000 new shares convertible bond subscription right 880,000 shares fully subscribe ."
"$ADBE technical alerts: Expansion Breakout, Gilligan's Island Sell Setup, Volume Surge, and New 52... https://t.co/LxX66tknFH",positive,15,1,$ adbe technical alert expansion breakout gilligan island sell setup volume surge new 52
$IWM same conditions that sent markets to tumble all hitting this week,negative,12,-1,$ iwm condition send markets tumble hit week
$AAPL near a 3% drop thats a lot... now the best i can do is HOLD ER lol,negative,18,-1,$ aapl near 3 % drop s lot good hold er lol
Operating profit improved by 27 % to EUR 579.8 mn from EUR 457.2 mn in 2006 .,positive,17,1,operate profit improve 27 % eur 579.8 mn eur 457.2 mn 2006 .
"On Dec. 1 , Grimaldi acquired 1.5 million shares and a 50.1-percent stake in Finnlines .",neutral,16,0,dec. 1 grimaldi acquire 1.5 million shares 50.1 percent stake finnlines .
Shire proposes $30 bln all-share tie-up with Baxalta,positive,8,1,shire propose dollar_30 bln share tie baxalta
"Last July , the group said it intended to relocate warehouse and office space in Loudeac and Saint Marcel to Morvillars , in the east of France , where it already operates a hook manufacturing and distribution unit .",neutral,39,0,july group say intend relocate warehouse office space loudeac saint marcel morvillars east france operate hook manufacturing distribution unit .
Pohjola and cooperative banks have continued to combine their branch office network .,neutral,13,0,pohjola cooperative bank continue combine branch office network .
"Prothious Engineering ( www.prothious.com ) employs more than 1,000 and has a large portfolio of projects and an annual detailing capacity of more than 100,000 tonnes .",neutral,27,0,"prothious engineering employ 1,000 large portfolio project annual detailing capacity 100,000 tonne ."
"Qualcomm estimated a first-quarter profit between 46 and 50 cents a share , excluding certain items , below the analyst estimate of 61 cents a share .",neutral,27,0,qualcomm estimate quarter profit 46 50 cent share exclude certain item analyst estimate 61 cent share .
"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",negative,29,-1,liquidity providing interrupt 11 2007 aspocomp group oyj shares trade 0.50 cent aspocomp stock exchange release 11.5.2007 .
The subscription period of Amer Sports ' 2002 warrant scheme will end on 31 December 2007 .,neutral,17,0,subscription period amer sports 2002 warrant scheme end 31 december 2007 .
This transaction will also rationalize our pulp and paper industry related solutions .,positive,13,1,transaction rationalize pulp paper industry relate solution .
"schwalm ( at ) outotec.com Eila Paatela , Vice President - Corporate Communications tel. +358 20 529 2004 , mobile +358 400 817198 e-mail eila .",neutral,26,0,schwalm outotec.com eila paatela vice president corporate communications tel . +358 20 529 2004 mobile +358 400 817198 e mail eila .
"I am looking forward to contribute to SRV 's success with my competence '' , says Taneli Hassinen .",positive,19,1,look forward contribute srv success competence say taneli hassinen .
"In the fourth quarter of 2008 , net sales decreased to EUR 121.4 mn from EUR 165.5 mn in the fourth quarter of 2007 .",neutral,25,0,fourth quarter 2008 net sale decrease eur 121.4 mn eur 165.5 mn fourth quarter 2007 .
AstraZeneca's MedImmune Inks Licensing Deal With Omnis Pharmaceuticals,positive,8,1,astrazeneca medimmune inks licensing deal omnis pharmaceuticals
"Order intake grew by 40 % year-on-year and 30 % year-on-year , respectively , to EUR 576 million and EUR 1.7 billion for the respective January-September and July-September 2010 periods .",positive,31,1,order intake grow 40 % year year 30 % year year respectively eur 576 million eur 1.7 billion respective january september july september 2010 period .
"During the strike , Finnair estimates to incur a net loss of between EUR2m and EUR2 .5 m per day .",negative,21,-1,strike finnair estimate incur net loss eur2 m eur2 .5 m day .
"Currently , 95 % of Trainers House 's revenues are attributed to the Finnish market .",neutral,16,0,currently 95 % trainers house revenue attribute finnish market .
The Oxyview Pulse Oximeter is a common device to check patient blood-oxygen saturation level and pulse rate .,neutral,18,0,oxyview pulse oximeter common device check patient blood oxygen saturation level pulse rate .
"The Russian gas giant invested another 46 million litas in the company in late 2004 and now owns 99.5 percent of its stock capital , which amounts to 86.936 million litas .",neutral,32,0,russian gas giant invest 46 million lita company late 2004 own 99.5 percent stock capital amount 86.936 million lita .
"The company will use the money for product development and research activities through 2013 in its key markets Finland , Germany , Italy and France .",neutral,26,0,company use money product development research activity 2013 key markets finland germany italy france .
"Through its partnership with Finnish Paulig 's Danish subsidiary Oscar , Puljonki acquired a sales organization in the European market .",neutral,21,0,partnership finnish paulig danish subsidiary oscar puljonki acquire sale organization european market .
Finnish OKO bank has signed a cooperation agreement with Raiffeisen concerning Finnish companies ' investments in Russia .,positive,18,1,finnish oko bank sign cooperation agreement raiffeisen concern finnish company investment russia .
Finnish bank Alandsbanken said Monday it will buy the Swedish operations of Iceland 's troubled Kaupthing Bank for 414 million kronor $ 49.5 million in cash .,neutral,27,0,finnish bank alandsbanken say monday buy swedish operation iceland trouble kaupthing bank 414 million kronor $ 49.5 million cash .
Exports grew 16.5 percent to 19.1 million liters .,positive,9,1,export grow 16.5 percent 19.1 million liter .
"Digia said its consolidated net sales for January-June 2010 were EUR67 .8 m , up 9.7 % on the same period in 2009 ( EUR61 .9 m ) .",positive,29,1,digia say consolidated net sale january june 2010 eur67 .8 m 9.7 % period 2009 eur61 .9 m .
"The company , employing 6,400 , reported net sales of 620 mln euro $ 823.2 mln for 2006 .",neutral,19,0,"company employ 6,400 report net sale 620 mln euro $ 823.2 mln 2006 ."
TRLPC - CRH backs Lafarge Holcim asset buy with 6.5 bln euro bridge loan,positive,14,1,trlpc crh back lafarge holcim asset buy 6.5 bln euro bridge loan
G4S sees profits rise but UK contract problems remain,positive,9,1,g4s see profit rise uk contract problem remain
The office space will rise above the remodeled Cannon Street underground station .,neutral,13,0,office space rise remodeled cannon street underground station .
"According to the original merger plan , Scanfil would get a 79 % stake in the combined business .",neutral,19,0,accord original merger plan scanfil 79 % stake combine business .
"As a result , the company will temporarily lay-off 25 % of the whole personnel , approximately 270 persons at Kirkkonummi and Nivala factories .",negative,25,-1,result company temporarily lay 25 % personnel approximately 270 person kirkkonummi nivala factory .
"In 2006 , Kone received an order from Aker Yards to supply 43 customised elevators for the very first Genesis cruise ship which is scheduled to be completed in 2009 .",positive,31,1,2006 kone receive order aker yards supply 43 customise elevator genesis cruise ship schedule complete 2009 .
The service also enables users to watch e-mails in HTML format en is enhanced with 23 addition languages to choose from .,neutral,22,0,service enable user watch e mail html format en enhance 23 addition language choose .
"Previously , Grimaldi held a 46.43 pct stake in the Finnish company following the takeover bid launched in November 2006 .",neutral,21,0,previously grimaldi hold 46.43 pct stake finnish company follow takeover bid launch november 2006 .
UPDATE 3-Auto Trader shares leap in UK's biggest private equity-backed listing,positive,11,1,update 3 auto trader shares leap uk big private equity back listing
"So far as is known , he did not sell shares that he owns personally .",neutral,16,0,far know not sell shares own personally .
"( ADPnews ) - Oct 21 , 2009 - Finland-based IT consultancy Tieto Oyj ( HEL : TIE1V ) said today its net profit plunged to EUR 29.4 million ( USD 43.9 m ) for the first nine months of 2009 from EUR 58.7 million for the same period o",neutral,50,0,adpnews oct 21 2009 finland base consultancy tieto oyj hel tie1v say today net profit plunge eur 29.4 million usd 43.9 m month 2009 eur 58.7 million period o
"A corresponding increase of 85,432.50 euros in Ahlstrom 's share capital has been entered in the Trade Register today .",neutral,20,0,"corresponding increase 85,432.50 euro ahlstrom share capital enter trade register today ."
"Following its strategy , Tikkurila has established a fully-owned sales company TOO Tikkurila in Almaty , Kazakhstan , for marketing decorative paints under the Finnish Tikkurila brand and the Russian Teks brand .",neutral,33,0,follow strategy tikkurila establish fully own sale company tikkurila almaty kazakhstan marketing decorative paint finnish tikkurila brand russian teks brand .
Related links : Flexiblebaseloadoperation TheWartsila32generating set Gasconversions This is the shorter of two versions of this press release .,neutral,19,0,related link flexiblebaseloadoperation thewartsila32generating set gasconversions short version press release .
"The inventors are Bylander Johan , Ponten Fredrik and Lundberg Jorgen .",neutral,12,0,inventor bylander johan ponten fredrik lundberg jorgen .
"The inventors are Mukkavilli Krishna Kiran , Sabharwal Ashutosh and Aazhang Behnaam .",neutral,13,0,inventor mukkavilli krishna kiran sabharwal ashutosh aazhang behnaam .
"In the third quarter , net sales increased by 12 % year-on-year to EUR159 .5 m , or by 6 % at comparable currency rates growth .",positive,27,1,quarter net sale increase 12 % year year eur159 .5 m 6 % comparable currency rate growth .
"The Network Test Business is part of Elektrobit 's Test and Automation Business Segment and employs 39 people in Finland and 22 people abroad , mainly in the US and Asia .",neutral,32,0,network test business elektrobit test automation business segment employ 39 people finland 22 people abroad mainly asia .
"The fair value of the investment properties totaled EUR 2,534.9 mn , up from EUR 2,455.1 mn in 2006 .",positive,20,1,"fair value investment property total eur 2,534.9 mn eur 2,455.1 mn 2006 ."
Diluted EPS rose to EUR3 .68 from EUR0 .50 .,positive,10,1,diluted eps rise eur3 .68 eur0 .50 .
Long $VVUS shares as a call option w/ an expiration of..  umm.. TODAY.    Hitting HOD here.,positive,16,1,long $ vvus shares option w/ expiration umm today . hit hod .
"There will be return flights from Stuttgart every morning , as well as evening departures on Thursdays , Fridays and Sundays .",neutral,22,0,return flight stuttgart morning evening departure thursdays fridays sundays .
Raute Corporation has received orders worth over EUR 12 million from OOO Ilim Bratsk DOK in Russia .,positive,18,1,raute corporation receive order worth eur 12 million ooo ilim bratsk dok russia .
`` We 've been feeling quite positive about the region as a whole .,positive,14,1,` ` feel positive region .
"Under the terms of the agreement , Bunge will acquire Raisio 's Keiju , Makuisa and Pyszny Duet brands and manufacturing plants in Finland and Poland .",neutral,27,0,term agreement bunge acquire raisio keiju makuisa pyszny duet brand manufacturing plant finland poland .
CompaniesAB InBev signals it won't go hostile for SABMiller,positive,9,1,companiesab inbev signal not hostile sabmiller
The ISO certification demonstrates that we are moving forward in our quality commitments to our customers . ',positive,18,1,iso certification demonstrate move forward quality commitment customer .
"The decision will have to be made whether the group agrees to the import of Estonian meat and meat products to Finland , the paper added .",neutral,27,0,decision group agree import estonian meat meat product finland paper add .
Salcomp Manufacturing Oy will pay EUR 35 million in cash to Salcomp in connection with the implementation of the sale and transfer of the Business .,neutral,26,0,salcomp manufacturing oy pay eur 35 million cash salcomp connection implementation sale transfer business .
"ALEXANDRIA , Va. , Dec. 22 -- United States Patent no. 7,854,608 , issued on Dec. 21 , was assigned to Outotec Oyj ( Espoo , Finland ) .",neutral,29,0,"alexandria va. dec. 22 united states patent no . 7,854,608 issue dec. 21 assign outotec oyj espoo finland ."
"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",negative,42,-1,"finnish solution provider affecto oyj hel afe1v say today slip net loss eur 115,000 usd 152,000 second quarter 2010 profit eur 845,000 corresponding period year early ."
"The newly-completed Allure of the Seas and its identical sister ship , Oasis of the Seas , which was completed last year are the world 's largest cruise ships .",neutral,30,0,newly complete allure seas identical sister ship oasis seas complete year world large cruise ship .
After 1 April 2007 Cencorp will not have any own employees in the territory .,neutral,15,0,1 april 2007 cencorp not employee territory .
"Based in Helsinki , Finland , Ramirent has branches in 13 Nordic , central and Eastern European countries .",neutral,19,0,base helsinki finland ramirent branch 13 nordic central eastern european country .
"s business sectors are building construction , infrastructure construction and technical building services .",neutral,14,0,s business sector build construction infrastructure construction technical building service .
"www.countryelements.co.uk Designed by Patricia Burt , this is just one of a selection of distinctive hooked rugs created with recycled materials and dyed natural dyes .",neutral,26,0,design patricia burt selection distinctive hooked rug create recycle material dye natural dye .
Infection worries prompt regulatory reviews of Gilead leukaemia drug $GILD https://t.co/H9vqXpZ15G via @YahooFinance,negative,13,-1,infection worry prompt regulatory review gilead leukaemia drug $ gild @yahoofinance
The Department Store Division 's sales fell by 8.6 % to EUR 140.2 mn .,negative,15,-1,department store division sale fall 8.6 % eur 140.2 mn .
"Significance : Teleste has emphasised that with its large size and growing economy , as well as the rapid development of its TV services distribution industry , Poland is viewed as an attractive market .",positive,35,1,significance teleste emphasise large size grow economy rapid development tv service distribution industry poland view attractive market .
"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .",neutral,31,0,"technopoli plan develop stage area no 100,000 square meter order host company work computer technology telecommunication statement say ."
"In Finland , export industry forms a large clientele for the packaging industry .",neutral,14,0,finland export industry form large clientele packaging industry .
"( ADP News ) - Oct 31 , 2008 - Finnish food company Raisio Oyj ( OMX : RAIVV ) said today that its net profit jumped to EUR 16.4 million ( USD 20.9 m ) for the first nine months of 2008 from EUR 1.1 million for the same period of 2",positive,53,1,adp news oct 31 2008 finnish food company raisio oyj omx raivv say today net profit jump eur 16.4 million usd 20.9 m month 2008 eur 1.1 million period 2
You will hear the latest insights and updates on Citycon 's strategy as well as the latest news from all the business units .,neutral,24,0,hear late insight update citycon strategy late news business unit .
"$XLF http://stks.co/1KJ9 Bounced off target buy area, bought $skf as a hedge. watch 50ma's slope",negative,15,-1,$ xlf bounced target buy area buy $ skf hedge . watch 50ma slope
"BHP Billiton posts big loss, slashes dividend",negative,7,-1,bhp billiton post big loss slash dividend
They will be sunk to a depth of some 360-380 metres and fixed to the bottom mud by vacuum .,neutral,20,0,sink depth 360 380 metre fix mud vacuum .
Device volume in the area decreased by 21 % to 2.7 mn units .,neutral,14,0,device volume area decrease 21 % 2.7 mn unit .
Sponda will record a profit from the sale of 8.5 mln euro ($ 12.4 mln).,positive,15,1,sponda record profit sale 8.5 mln euro $ 12.4 mln .
"Berling Capital , Umo Capital and Veikko Laine are the biggest shareholders in Amanda Capital .",neutral,16,0,berling capital umo capital veikko laine big shareholder amanda capital .
$TRX http://stks.co/1KkK Long setup. MACD cross.,positive,6,1,$ trx long setup . macd cros .
"According to Ultrascan , with a software acquired from crackers , it has managed to change the mobile phone in a way that the phone was able to get hold of a one-time password sent by a bank via a text message .",neutral,43,0,accord ultrascan software acquire cracker manage change mobile phone way phone able hold time password send bank text message .
"In the beginning of the negotiations , the estimated number of reductions was 50 at the maximum .",neutral,18,0,beginning negotiation estimate number reduction 50 maximum .
The Group 's business is balanced by its broad portfolio of sports and presence in all major markets .,positive,19,1,group business balance broad portfolio sport presence major markets .
"Elcoteq 's global service offering covers the entire lifecycle of products , from product development to after-market services .",neutral,19,0,elcoteq global service offering cover entire lifecycle product product development market service .
$PCLN Back to Back intraday reversals look out below. Shorts moving in!,negative,12,-1,$ pcln intraday reversal look . short move
"Outotec 's scope of delivery covers the engineering , supply of special equipment and services for a calcination plant with two circulating fluid bed calciners .",neutral,26,0,outotec scope delivery cover engineering supply special equipment service calcination plant circulate fluid bed calciner .
Solidium now holds 5.0 per cent of the shares Solidium Oy has acquired 5.0 per cent of the shares in Tieto Corporation for approximately EUR 58 million .,neutral,28,0,solidium hold 5.0 cent shares solidium oy acquire 5.0 cent shares tieto corporation approximately eur 58 million .
Raute is listed on the Nordic exchange in Helsinki .,neutral,10,0,raute list nordic exchange helsinki .
$SPY  still wants higher I think.,positive,6,1,$ spy want high think .
Finnish forest industry group Stora Enso Oyj issued on Thursday ( 20 March ) a profit warning for the first quarter 2008 .,neutral,23,0,finnish forest industry group stora enso oyj issue thursday 20 march profit warn quarter 2008 .
Poyry has a good track record of major transportation projects in Latin America .,positive,14,1,poyry good track record major transportation project latin america .
"The announcement pushed Freenet shares down 6.3 % , or EUR0 .71 , in Frankfurt trade to EUR10 .65 as investors gave up hope United Internet AG and Drillisch would pursue their own takeover and breakup of Freenet .",neutral,39,0,announcement push freenet shares 6.3 % eur0 .71 frankfurt trade eur10 .65 investor give hope united internet ag drillisch pursue takeover breakup freenet .
"At 10.33 am , Huhtamaki was the market 's biggest faller , 8.69 pct lower at 11.35 eur , while the OMX Helsinki 25 was 0.32 pct higher at 3,332.41 , and the OMX Helsinki was up 0.47 pct at 11,687.32 .",negative,42,-1,"10.33 huhtamaki market big fall 8.69 pct lower 11.35 eur omx helsinki 25 0.32 pct high 3,332.41 omx helsinki 0.47 pct 11,687.32 ."
These measures are expected to produce annual cost savings of EUR 1.5 million starting in 2007 .,positive,17,1,measure expect produce annual cost saving eur 1.5 million start 2007 .
"The Annual General Meeting approved that the yearly remuneration for the members of the Board of Directors shall remain at EUR 40.000 for the Chairman of the Board , EUR 30.000 for the Deputy Chairman of the Board and EUR 20.000 for other members of the Board .",neutral,48,0,annual general meeting approve yearly remuneration member board directors shall remain eur 40.000 chairman board eur 30.000 deputy chairman board eur 20.000 member board .
Sanoma Magazines Finland 's net sales grew to EUR 140.1 mn from EUR 131.8 mn .,positive,16,1,sanoma magazines finland net sale grow eur 140.1 mn eur 131.8 mn .
Ruukki 's order book at the end of 2010 was 30 % up year-on-year and 10 % up quarter-on-quarter .,positive,20,1,ruukki order book end 2010 30 % year year 10 % quarter quarter .
The repurchases shall decrease the distributable capital and reserves .,negative,10,-1,repurchase shall decrease distributable capital reserve .
Pretax loss totalled EUR 162.3 mn compared to a profit of EUR 253.5 mn in 2007 .,neutral,17,0,pretax loss total eur 162.3 mn compare profit eur 253.5 mn 2007 .
$KIOR My god. Market getting crushed today. Gotta hold if anything g should recover some tomorrow I imagine.,negative,18,-1,$ kior god . market getting crush today . get to hold g recover tomorrow imagine .
"At the end of March 2007 , the group 's order book was at EUR 39.6 mn , up 42 % from the corresponding period in 2006 .",positive,28,1,end march 2007 group order book eur 39.6 mn 42 % corresponding period 2006 .
"National Conciliator Juhani Salonius , who met both parties on Wednesday , said they were too far apart in their views for him to propose mediation .",negative,27,-1,national conciliator juhani salonius meet party wednesday say far apart view propose mediation .
Metsaliitto said that it will book a minor gain of less than EUR1 .0 m from the transaction .,positive,19,1,metsaliitto say book minor gain eur1 .0 m transaction .
"Known as Post Bank , the concept would see Fidelity Bank rolling out 75 offices in Ghana Post premises , to provide financial services to the people .",positive,28,1,know post bank concept fidelity bank roll 75 office ghana post premise provide financial service people .
UK's FTSE has worst day so far in 2015 as BG and Prudential fall,negative,14,-1,uk ftse bad day far 2015 bg prudential fall
Finnish retail software developer Aldata Solution Oyj reported a net loss of 11.7 mln euro $ 17.2 mln for 2007 versus a net profit of 2.5 mln euro $ 3.7 mln for 2006 .,negative,34,-1,finnish retail software developer aldata solution oyj report net loss 11.7 mln euro $ 17.2 mln 2007 versus net profit 2.5 mln euro $ 3.7 mln 2006 .
LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,negative,8,-1,lse deutsche bã¶rse dealmaker wrong ignore brexit risk
Aker Yards Finland will begin using Chinese subcontractors at its Finnish shipyards .,neutral,13,0,aker yards finland begin chinese subcontractor finnish shipyard .
"It is part of the development of the world-class magnetite deposit at Karara , which has the known potential for over 30 million metric tons of annual processing of magnetite over its estimated 30-year life .",neutral,36,0,development world class magnetite deposit karara know potential 30 million metric ton annual processing magnetite estimate 30 year life .
